,企業名,キャッチコピー,ステータス,初年度年収
0,東京都競馬株式会社 | 東証一部上場／大井競馬場の賃貸や東京サマーランドの運営など,インターネット馬券発売システム「SPAT4」の【企画・開発】 正社員,正社員,600万円～800万円
1,株式会社JEMS | 環境管理システム国内シェアTOPクラス◆IT業界経験者、採用中！,自社製品に企画から携われる！【PG】◆100％自社内開発！ 正社員,正社員,350万円～600万円
2,株式会社ジーシーシー | 年休120日以上！メリハリのあるワークライフを♪,自治体向け自社システムを開発【SE職】★群馬県募集 正社員,正社員,300万円～400万円
3,株式会社オーイーシー | ★自治体案件多数で安定基盤あり★福利厚生も充実,【インフラエンジニア】★年間休日120日以上★研修制度あり 正社員,正社員,350万円～600万円
4,シコク・システム工房株式会社 | 【東証一部上場企業100％の出資子会社】福利厚生充実◎年休120日,ITサービス・ソフトウェアの【ルート営業】☆既存中心！ 正社員,正社員,350万円～450万円
5,株式会社東京精密 | 半導体製造装置と計測機器2つの事業で国内外シェアトップクラス,半導体製造装置のメーカーを支える【社内ＳＥ】★年間休日125日 正社員,正社員,460万円～750万円
6,株式会社オーイーシー | 創立55周年の安定性♪福利厚生も充実◎長年勤める方も多い職場♪,【SE】★年間休日120日以上★AI、IoT等の最新技術に関われる 正社員,正社員,350万円～600万円
7,あおみ建設株式会社 | ★創業104年目★シーズン休暇やサポート休暇など社内制度充実,安定企業で長く働ける【社内SE】★年間休日122日★賞与年2回 正社員,正社員,402万円～653万円
8,弁護士法人平松剛法律事務所 | ◆多数のお客様の支持を受け成長中 ◆現在全国に12拠点を展開！,【社内SE（自社CRM＆AWSの開発・運用・保守担当）】※副業OK 正社員,正社員,400万円～600万円
9,株式会社テクノリッジ | 自社サービスからICT活用コンサルティングまで幅広い領域で活躍,【SE・PG】◎スタートアップ企業であなたの経験を発揮！ 正社員,正社員,350万円～700万円
10,株式会社JEMS | 環境管理システム国内シェアTOPクラス★IT業界経験者、採用中！,ITで環境問題に挑む！環境情報企業の【SE】★100％自社内開発！ 正社員,正社員,350万円～600万円
11,株式会社ジーシーシー | 【設立56年・地方公共団体のシステムに特化】＊離職率2.6％！,自治体向け自社システムを開発【SE】＊年間休日122日・茨城募集 正社員,正社員,300万円～400万円
12,フォーグローブ株式会社 | プライム案件が全体の7割／年間休日123日／リモートワーク対応,【システムエンジニア】チャレンジャーからベテランまで大募集！ 正社員,正社員,300万円～800万円
13,株式会社ウチダ人材開発センタ | ＜コロナ禍でも業績好調の内田洋行グループ＞※在宅勤務相談可,【法人営業職（教育研修商材担当）】※年休120日／土日祝休み 正社員,正社員,360万円～500万円
14,株式会社コンピューターシステムハウス | ◆無借金経営 ◆自己資本比率90%超 ◆表彰実績多数あり,★業界経験者募集★【ITエンジニア】安定した環境で働きやすさ◎ 正社員,正社員,
15,株式会社ウチダ人材開発センタ | 内田洋行グループ／土日祝休み／年間休日120日以上,e-LearningやLMS、CBTなどの開発を行う【PG・SE】 正社員,正社員,360万円～600万円
16,コムテック株式会社 | 名古屋支社　～大手自動車関連メーカーと安定取引～,《愛知県内がメイン》【SE/PG】※年休125日・残業月20時間程度 正社員,正社員,330万円～400万円
17,株式会社トライフ | 東証一部上場企業のグループ会社／年間休日118日・土日祝休,社内システム開発から運用全般【社内SE】幹部候補募集★ 正社員,正社員,350万円～400万円
18,株式会社ジェスクホリウチ | ◆安定性が魅力の老舗企業◆賞与も休み(年休124日)も文句なし！,遠隔で工場や施設を管理するシステムの開発【SE】※経験者歓迎 正社員,正社員,400万円～550万円
19,情報技術開発株式会社 | 経営課題を解決するソリューションを提供★年間休日120日以上,◎テレワーク有　AWSを基幹として用いる【社内SE】※土日祝休み 正社員,正社員,450万円～650万円
20,株式会社ジェスクホリウチ | （募集！）何らかのシステム開発のご経験をお持ちの方,生産機械など管理する【制御システムSE】◎年休124日/土日祝休み 正社員,正社員,400万円～550万円
21,ドクターキューブ株式会社 | 医院向けシステムのメーカー 定着率◎※手当充実！年休120日以上,名古屋限定募集！【提案営業】昨年度実績7ヶ月分！未経験OK 正社員,正社員,300万円～500万円
22,セザックス株式会社 | 「コンテンツ × メディア」で75年の信頼と実績,Web系【システムエンジニア】※上流工程から携わる 正社員,正社員,400万円～700万円
23,株式会社アセック | 【全国の自治体・官公庁との取引実績多数】完全週休2日(土日祝),100%自社内開発！計量データ処理システムの【SE・プログラマー】 正社員,正社員,360万円～600万円
24,北陸電気工事株式会社 | <東証一部上場>★1944年設立！北陸トップクラスの総合設備企業,<100％自社案件>【 社内SE 】賞与前年実績6.4ヵ月/年★年休126日 正社員,正社員,
25,ドクターキューブ株式会社 | 医院向けシステムのメーカー 定着率◎※手当充実！年休120日以上,広島限定募集！【提案営業】昨年度実績7ヶ月分！未経験OK 正社員,正社員,300万円～500万円
